分类,原始query,正则query,模版,语义相似性,编辑距离,编辑距离相似性,weighted_sim
版本更新,版本不一样怎么更新,版本怎么更新,"('版本更新', 2)",0.9380067,2,0.666666667,0.856604689
版本更新,版本预测,版本预测,"('版本更新', 2)",0.8592577,2,0.5,0.751480389
版本更新,有没有新出的英雄？,有没有新出英雄？,"('最新英雄更新', 2)",0.936446,6,0.25,0.730512208
版本更新,最近做了哪些版本的调整,最近做哪些版本调整,"('最新版本更新', 2)",0.9283707,6,0.333333333,0.7498595
版本更新,本次都更新了，哪位英雄的技能,本次都更新，哪位英雄技能,"('最新英雄更新', 2)",0.90360385,9,0.25,0.707522696
版本更新,系统更新通知,系统更新通知,"('更新', 2)",0.920131,4,0.333333333,0.744091719
版本更新,查看我的新,查看我新,"('查看更新', 2)",0.8931499,1,0.75,0.850204939
版本更新,这件英雄的调整,这件英雄调整,"('英雄更新', 2)",0.86815614,4,0.333333333,0.707709295
版本更新,最近哪些英雄最高,最近哪些英雄最高,"('最新英雄更新', 2)",0.88531125,5,0.375,0.732217872
版本更新,再去七点更新,再去七点更新,"('我要更新', 2)",0.8708426,4,0.333333333,0.709589803
版本更新,赛季新出英雄,赛季新出英雄,"('最新英雄更新', 2)",0.9359475,5,0.166666667,0.705163234
版本更新,几天不更新,几天更新,"('查一下更新', 2)",0.8465579,3,0.4,0.712590541
版本更新,更新后版本怎么不一样,更新后版本怎么,"('版本更新', 2)",0.90697813,5,0.285714286,0.720598977
版本更新,重启不更新,重启更新,"('更新', 2)",0.82135797,2,0.5,0.724950576
版本更新,英雄战力更改。,英雄战力更改,"('英雄更新', 2)",0.8561038,3,0.5,0.749272645
版本更新,新赛季我更新了吗,新赛季我更新,"('新更新', 2)",0.8952743,3,0.5,0.776691997
版本更新,哪位英雄增强,哪位英雄增强,"('最新英雄更新', 2)",0.8830444,4,0.333333333,0.718131095
版本更新,新英雄少人,新英雄少人,"('英雄更新', 2)",0.85805607,3,0.4,0.720639248
版本更新,公告2024年6月7日,公告2024年月日,"('公告', 2)",0.90794665,7,0.222222222,0.702229319
版本更新,最近谁,最近谁,"('最近更新', 2)",0.8227077,2,0.5,0.725895399
版本更新,新版本有哪些英雄调整,新版本有哪些英雄调整,"('最新英雄更新', 2)",0.9247507,8,0.2,0.70732548
版本更新,还有几次下一次更新,还有几次下一次更新,"('查一下这次更新', 2)",0.87081766,5,0.444444444,0.742905696
版本更新,下赛季的更新公告,下赛季更新公告,"('更新公告', 2)",0.9276193,3,0.571428571,0.820762066
版本更新,赛季赛季更新,赛季赛季更新,"('最新版本更新', 2)",0.8757326,4,0.333333333,0.71301282
版本更新,最近钻石说,最近钻石说,"('最近更新', 2)",0.85391736,3,0.4,0.717742152
版本更新,有哪些英雄，最近出了新皮肤,有哪些英雄，最近出新皮肤,"('最新英雄更新', 2)",0.9225236,9,0.25,0.720766532
版本更新,英雄精明,英雄精明,"('英雄更新', 2)",0.822073,2,0.5,0.725451088
版本更新,本更新,本更新,"('新更新', 2)",0.9464786,1,0.666666667,0.862535024
版本更新,更新的地方在哪,更新地方在,"('更新', 2)",0.86305475,3,0.4,0.724138327
版本更新,分段英雄换新的,分段英雄换新,"('英雄更新', 2)",0.8885907,3,0.5,0.772013485
版本更新,最新购买英雄,最新购买英雄,"('最新英雄更新', 2)",0.89540935,4,0.333333333,0.726786542
版本更新,我这个版本是最新版本吗,我这个版本是最新版本,"('最新版本更新', 2)",0.9114478,7,0.3,0.728013476
版本更新,即将出来的新英雄是谁,即将出来新英雄是谁,"('最新英雄更新', 2)",0.9076409,6,0.333333333,0.735348612
版本更新,英雄添加,英雄添加,"('这次英雄更新', 2)",0.8867095,4,0.333333333,0.720696658
版本更新,这次的限定,这次限定,"('这次更新', 2)",0.8346404,2,0.5,0.734248269
版本更新,最近王者英雄调整了什么,最近王者英雄调整什么,"('最新英雄更新', 2)",0.89035505,7,0.3,0.713248535
版本更新,8月22更新公告,月22更新公告,"('最新更新公告', 2)",0.94546103,3,0.571428571,0.833251296
版本更新,本命英雄可以更改吗,本命英雄可以更改,"('本次英雄更新', 2)",0.85563767,4,0.5,0.748946369
版本更新,我的体验服更新了吗,我体验服更新,"('最新版本更新', 2)",0.89338404,4,0.333333333,0.725368828
版本更新,最新动作去哪了,最新动作去,"('最新更新', 2)",0.8635561,3,0.4,0.724489261
版本更新,啥时间更新啊,啥时间更新,"('查一下更新', 2)",0.8805792,3,0.4,0.736405421
版本更新,耀的英雄调整,耀英雄调整,"('英雄更新', 2)",0.8571222,3,0.4,0.719985528
版本更新,东方公告,东方公告,"('最新公告', 2)",0.89736605,2,0.5,0.778156233
版本更新,那下个版本的什么时候更新,那下个版本什么时候更新,"('查下版本更新', 2)",0.8677795,6,0.454545455,0.743809282
版本更新,金福公告,金福公告,"('最新公告', 2)",0.8726379,2,0.5,0.760846549
版本更新,新版本的PV,新版本pv,"('版本更新', 2)",0.90359443,3,0.4,0.752516104
版本更新,赛季不更新,赛季更新,"('最新更新公告', 2)",0.8796929,4,0.333333333,0.715785038
版本更新,新英雄的克星,新英雄克星,"('英雄更新', 2)",0.8578745,3,0.4,0.720512159
版本更新,版本不一样怎么办？,版本怎么办？,"('版本更新', 2)",0.89247453,4,0.333333333,0.724732172
版本更新,更新了哪些新英雄,更新哪些新英雄,"('最新英雄更新', 2)",0.9712445,6,0.142857143,0.722728303
版本更新,更新游戏更新你们不发公告吗,更新游戏更新你们不发公告,"('最新更新公告', 2)",0.8642182,7,0.416666667,0.729952723
版本更新,新英雄一般很强吗,新英雄很强,"('新英雄更新', 2)",0.8984863,2,0.6,0.808940421
版本更新,还有什么英雄更新技能,还有什么英雄更新技能,"('最新英雄更新', 2)",0.9193634,6,0.4,0.763554366
版本更新,这次更新调整的英雄有哪些？,这次更新调整英雄有哪些？,"('最新英雄更新', 2)",0.93753576,9,0.25,0.731275034
版本更新,查看后续公告,查看后续公告,"('这次公告', 2)",0.9261685,4,0.333333333,0.748317951
版本更新,最新语音最新英雄技能调整,最新语音最新英雄技能调整,"('最新英雄更新', 2)",0.9068816,8,0.333333333,0.7348171
版本更新,快点给我更新,快点我更新,"('让我更新', 2)",0.93244743,2,0.6,0.832713203
版本更新,多就更新,多就更新,"('更新', 2)",0.9145151,2,0.5,0.790160555
版本更新,新英雄要多少分,新英雄要多少分,"('新英雄更新', 2)",0.8280783,4,0.428571429,0.708226259
版本更新,我要更新赛季我要更新,我要更新赛季我要更新,"('我要更新', 2)",0.8999278,6,0.4,0.749949456
版本更新,最近还要更新什么,最近还要更新什么,"('最近更新', 2)",0.93821967,4,0.5,0.806753767
版本更新,新英雄，然后上线时间,新英雄，然后上线时间,"('新英雄更新', 2)",0.87411636,7,0.3,0.701881453
版本更新,我现在更新了吗？,我现在更新？,"('这次更新', 2)",0.9293279,4,0.333333333,0.750529534
版本更新,有新英雄加入吗,有新英雄加入,"('新英雄更新', 2)",0.9236554,3,0.5,0.796558774
版本更新,八月四日公告,八月四日公告,"('这次公告', 2)",0.9091425,4,0.333333333,0.736399746
版本更新,英雄还没分,英雄还没分,"('英雄更新', 2)",0.85178673,3,0.4,0.716250713
版本更新,英雄登榜,英雄登榜,"('英雄更新', 2)",0.85128534,2,0.5,0.745899737
版本更新,最近要出的英雄有哪些,最近要出英雄有哪些,"('最新英雄更新', 2)",0.9455614,6,0.333333333,0.761892986
版本更新,图片更新,图片更新,"('新更新', 2)",0.8871079,2,0.5,0.770975536
版本更新,明天的更新内容,明天更新内容,"('我要更新', 2)",0.8858352,4,0.333333333,0.72008462
版本更新,更新所有英雄的建模,更新所有英雄建模,"('新英雄更新', 2)",0.8969791,5,0.375,0.740385365
版本更新,快要新出英雄,快要新出英雄,"('新英雄更新', 2)",0.94433,5,0.166666667,0.711030984
版本更新,距离下一次更新是多久,距离下一次更新是多久,"('查一下这次更新', 2)",0.8462447,6,0.4,0.712371285
版本更新,升级英雄称号,升级英雄称号,"('英雄更新', 2)",0.87612367,4,0.333333333,0.713286567
版本更新,英雄禁的改动,英雄禁改动,"('英雄更新', 2)",0.85755146,3,0.4,0.720286019
版本更新,为什么说版本不一样，但更新了我？,为什么说版本，但更新我？,"('版本更新', 2)",0.872074,8,0.333333333,0.710451806
版本更新,最新英雄皮肤返场消息,最新英雄皮肤返场消息,"('最新英雄更新', 2)",0.8716326,6,0.4,0.730142803
版本更新,资源包更新查看,资源包更新查看,"('查一下更新', 2)",0.88368034,5,0.285714286,0.704290526
版本更新,符文在哪更新,符文在更新,"('这次英雄更新', 2)",0.88003904,4,0.333333333,0.716027325
版本更新,查看英雄进阶,查看英雄进阶,"('最新英雄更新', 2)",0.88268507,4,0.333333333,0.717879546
版本更新,给英雄升熟练度,英雄升熟练度,"('英雄更新', 2)",0.8692076,4,0.333333333,0.708445334
版本更新,预约更新在哪找,预约更新在找,"('更新', 2)",0.85723484,4,0.333333333,0.700064385
版本更新,今天更新一天,今天更新一天,"('我要更新', 2)",0.8802913,4,0.333333333,0.716203898
版本更新,这是更新的英雄是谁,这是更新英雄是谁,"('这次英雄更新', 2)",0.9039138,5,0.375,0.745239657
版本更新,最近都有什么更新,最近都有什么更新,"('查一下近期更新', 2)",0.9545082,6,0.25,0.74315573
版本更新,恢复新,恢复新,"('更新', 2)",0.86221725,2,0.333333333,0.703552073
版本更新,5 月 16 更新内容,月16更新内容,"('近期更新', 2)",0.9064481,5,0.285714286,0.720227974
版本更新,新不,新,"('新更新', 2)",0.9087558,2,0.333333333,0.736129045
版本更新,英雄英雄重做,英雄英雄重做,"('英雄更新', 2)",0.8915496,4,0.333333333,0.724084711
版本更新,最近改动,最近改动,"('最近更新', 2)",0.9399811,2,0.5,0.807986772
版本更新,最近有没有要上新的新英雄,最近有没有要上新新英雄,"('最新英雄更新', 2)",0.9473151,9,0.181818182,0.717666022
版本更新,是要更新新赛季了吗,是要更新新赛季,"('我要最新更新', 2)",0.8905843,5,0.285714286,0.709123289
版本更新,更新ne,更新ne,"('更新', 2)",0.9308196,2,0.5,0.8015737
版本更新,最近获的英雄,最近获英雄,"('最新英雄更新', 2)",0.89262503,4,0.333333333,0.724837524
版本更新,最近新出的英雄,最近新出英雄,"('最新英雄更新', 2)",0.96403265,4,0.333333333,0.774822855
版本更新,战队赛更新,战队赛更新,"('最新更新', 2)",0.83341235,3,0.4,0.703388644
版本更新,亲密度更新,亲密度更新,"('新更新', 2)",0.8618183,3,0.4,0.72327282
版本更新,王者荣耀现在最新出的英雄是谁,王者荣耀现在最新出英雄是谁,"('最新英雄更新', 2)",0.9022975,9,0.307692308,0.72391594
版本更新,那我要多久才能更新,那我要多久才能更新,"('我要查一下更新', 2)",0.8574884,5,0.444444444,0.733575209
版本更新,最近更新了什么bug,最近更新什么bug,"('最近更新', 2)",0.87151027,5,0.444444444,0.74339052
版本更新,最近新出什么英雄,最近新出什么英雄,"('最新英雄更新', 2)",0.9459615,6,0.25,0.737173033
版本更新,我版本不正确吗,我版本正确,"('这次版本更新', 2)",0.86282897,4,0.333333333,0.703980279
版本更新,赛季更新哪天,赛季更新天,"('英雄更新', 2)",0.8633103,3,0.4,0.724317194
版本更新,新赛季都会更新,新赛季都会更新,"('这次更新', 2)",0.8936796,5,0.285714286,0.711290019
版本更新,后面还要更新吗,后面还要更新,"('这次更新', 2)",0.92155886,4,0.333333333,0.7450912
版本更新,已经更新过了,已经更新过,"('这次更新', 2)",0.92000115,3,0.4,0.764000804
版本更新,最近购买的英雄是谁？,最近购买英雄是谁？,"('最新英雄更新', 2)",0.86302847,6,0.333333333,0.704119927
版本更新,上层，下次更新时间,上层，下次更新时间,"('查一下更新', 2)",0.8679442,6,0.333333333,0.707560927
版本更新,等版本更新了什么,等版本更新什么,"('版本更新', 2)",0.9008492,3,0.571428571,0.802023028
版本更新,经济公告,经济公告,"('这次公告', 2)",0.92239416,2,0.5,0.79567591
版本更新,我更新完了怎么总更新,我更新完怎么总更新,"('我要新更新', 2)",0.8183937,5,0.444444444,0.706208928
版本更新,这个月更新不,这个月更新,"('这次更新', 2)",0.9274123,2,0.6,0.82918859
版本更新,什么英雄被升级了,什么英雄被升级,"('英雄更新', 2)",0.88278395,5,0.285714286,0.70366305
版本更新,王者公告,王者公告,"('这次公告', 2)",0.87462085,2,0.5,0.762234598
版本更新,新赛季版本更新时间,新赛季版本更新时间,"('最新版本更新', 2)",0.86943805,5,0.444444444,0.74193997
版本更新,新赛季更新的有哪些,新赛季更新有哪些,"('最新更新', 2)",0.8988154,6,0.25,0.704170775
版本更新,查找更多,查找更多,"('查看更新', 2)",0.8580849,2,0.5,0.750659442
版本更新,英雄排序更换,英雄排序更换,"('英雄更新', 2)",0.8629637,3,0.5,0.754074574
版本更新,你的版本,你版本,"('这次版本更新', 2)",0.87106776,4,0.333333333,0.709747434
版本更新,王者荣耀最新的公告,王者荣耀最新公告,"('更新公告', 2)",0.87781066,5,0.375,0.72696746
版本更新,可更新内容,可更新内容,"('我要更新', 2)",0.9343064,4,0.2,0.714014468
版本更新,新赛季最强的英雄是谁,新赛季最强英雄是谁,"('最新英雄更新', 2)",0.8698781,6,0.333333333,0.708914679
版本更新,哪个英雄更厉害呢,哪个英雄更厉害,"('最新英雄更新', 2)",0.8230308,4,0.428571429,0.704693009
版本更新,赛季新英雄怎么获取,赛季新英雄怎么获取,"('最新英雄更新', 2)",0.86191595,6,0.333333333,0.703341162
版本更新,最新版本哇,最新版本,"('最新版本更新', 2)",0.9739451,2,0.666666667,0.881761557
版本更新,3月30号英雄调整,月30号英雄调整,"('本次英雄更新', 2)",0.89678335,6,0.25,0.702748346
版本更新,限免英雄。,限免英雄,"('最新英雄更新', 2)",0.8605502,4,0.333333333,0.702385157
版本更新,新赛季英雄改动的介绍,新赛季英雄改动介绍,"('最新英雄更新', 2)",0.92820644,7,0.222222222,0.716411177
版本更新,更新的新英雄是谁？,更新新英雄是谁？,"('最新英雄更新', 2)",0.94138616,5,0.375,0.771470314
版本更新,哪些英雄升级,哪些英雄升级,"('最新英雄更新', 2)",0.9022039,4,0.333333333,0.731542742
版本更新,英雄换错了,英雄换错,"('英雄更新', 2)",0.82374775,2,0.5,0.726623428
版本更新,新出英雄了吗？,新出英雄？,"('最新英雄更新', 2)",0.9477932,4,0.333333333,0.76345523
版本更新,怎么查看最新更新的英雄等级,怎么查看最新更新英雄等级,"('最新英雄更新', 2)",0.8645009,8,0.333333333,0.705150616
版本更新,英雄分路更新,英雄分路更新,"('英雄更新', 2)",0.91027784,2,0.666666667,0.83719449
版本更新,最新更新技能,最新更新技能,"('新更新', 2)",0.91342163,3,0.5,0.789395142
版本更新,近期英雄汇总,近期英雄汇总,"('最新英雄更新', 2)",0.9497598,4,0.333333333,0.764831847
版本更新,最新的停机更新,最新停机更新,"('最新更新', 2)",0.8603053,2,0.666666667,0.802213717
版本更新,英雄版几点更新,英雄版几点更新,"('英雄更新', 2)",0.84626687,3,0.571428571,0.763815377
版本更新,新英雄多地亚,新英雄多地亚,"('新英雄更新', 2)",0.8634643,3,0.5,0.754425007
版本更新,加强英雄那些,加强英雄那些,"('这次英雄更新', 2)",0.8983332,4,0.333333333,0.728833234
版本更新,最近有没有新英雄啊,最近有没有新英雄,"('最新英雄更新', 2)",0.9455667,6,0.25,0.7368967
版本更新,2月16号更新公告,月16号更新公告,"('更新公告', 2)",0.9481882,4,0.5,0.81373173
版本更新,现在更新按摩,现在更新按摩,"('这次更新', 2)",0.8663191,4,0.333333333,0.706423384
版本更新,新出英雄有哪些,新出英雄有哪些,"('最新英雄更新', 2)",0.9415755,5,0.285714286,0.744817155
版本更新,版本最强英雄哪一个,版本最强英雄一个,"('最新英雄更新', 2)",0.8620449,5,0.375,0.71593141
版本更新,有多少个英雄会更新,有多少个英雄会更新,"('新英雄更新', 2)",0.9048561,5,0.444444444,0.766732593
版本更新,新英雄，小满哪时候上线,新英雄，小满时候上线,"('新英雄更新', 2)",0.8846607,7,0.3,0.709262505
版本更新,这次体验的英雄，有多少,这次体验英雄，有多少,"('这次英雄更新', 2)",0.8603874,6,0.4,0.722271169
版本更新,现在新出的,现在新出,"('新更新', 2)",0.9169718,3,0.25,0.716880262
版本更新,新英雄，新英雄是什么,新英雄，新英雄是什么,"('新英雄更新', 2)",0.91330016,6,0.4,0.75931011
版本更新,王者还要更新,王者还要更新,"('这次英雄更新', 2)",0.89976466,4,0.333333333,0.72983526
版本更新,现在新名英雄皮肤是,现在新名英雄皮肤是,"('最新英雄更新', 2)",0.9047672,6,0.333333333,0.733337051
版本更新,想更换,想更换,"('想更新', 2)",0.83456296,1,0.666666667,0.78419407
版本更新,在哪里，再次更新,在哪里，再次更新,"('这次更新', 2)",0.8626922,5,0.375,0.716384524
版本更新,十月十六号公告,十月十六号公告,"('公告', 2)",0.8889319,5,0.285714286,0.707966595
版本更新,网上推出的新英雄是谁的,网上推出新英雄是谁,"('新英雄更新', 2)",0.8956913,6,0.333333333,0.726983893
版本更新,还有新出的英雄吗,还有新出英雄,"('新英雄更新', 2)",0.94148755,5,0.166666667,0.709041286
版本更新,排位要更新吗,排位要更新,"('这次英雄更新', 2)",0.90943426,4,0.333333333,0.736603981
版本更新,帮我去更新,帮我去更新,"('帮我更新', 2)",0.9690485,1,0.8,0.91833395
版本更新,现在最新的英雄,现在最新英雄,"('最新英雄更新', 2)",0.9648304,4,0.333333333,0.775381279
版本更新,这啥时候更新,这啥时候更新,"('查一下更新', 2)",0.8855649,4,0.333333333,0.719895446
版本更新,近期英雄的王者调整,近期英雄王者调整,"('最新英雄更新', 2)",0.92256737,6,0.25,0.720797157
版本更新,呃，下个赛季新英雄是什么,，下个赛季新英雄是什么,"('最新英雄更新', 2)",0.8948446,8,0.272727273,0.708209396
版本更新,最近有什么新的东西,最近有什么新东西,"('最近更新', 2)",0.90226865,5,0.375,0.744088054
版本更新,下一次的皮肤更新,下一次皮肤更新,"('这次更新', 2)",0.8664307,4,0.428571429,0.735072918
版本更新,近期游戏在线,近期游戏在线,"('近期更新', 2)",0.86509633,4,0.333333333,0.705567431
版本更新,商店下次更新。,商店下次更新,"('这次更新', 2)",0.8753821,3,0.5,0.762767488
版本更新,有新出的英雄,有新出英雄,"('最新英雄更新', 2)",0.93772715,4,0.333333333,0.756409007
版本更新,最近最适合玩的英雄是谁,最近最适合玩英雄是谁,"('最新英雄更新', 2)",0.8974508,7,0.3,0.718215563
版本更新,上一次更新内容,上一次更新内容,"('这次更新', 2)",0.9538133,4,0.428571429,0.796240749
版本更新,版本更替,版本更替,"('版本更新', 2)",0.9547066,1,0.75,0.893294626
版本更新,更新掉,更新掉,"('更新', 2)",0.9313598,1,0.666666667,0.851951879
版本更新,什么时候新英雄上线,什么时候新英雄上线,"('最新英雄更新', 2)",0.8789518,6,0.333333333,0.715266252
版本更新,到底在更新什么,到底在更新什么,"('查一下更新', 2)",0.9344348,5,0.285714286,0.739818626
版本更新,新赛季的新英雄是谁？,新赛季新英雄是谁？,"('最新英雄更新', 2)",0.8994802,6,0.333333333,0.729636157
版本更新,更新计划,更新计划,"('更新', 2)",0.91326207,2,0.5,0.789283448
版本更新,如何更新动作,如何更新动作,"('更新', 2)",0.8581859,4,0.333333333,0.700730121
版本更新,最新装备英雄更改,最新装备英雄更改,"('最新英雄更新', 2)",0.92832017,3,0.625,0.837324119
版本更新,近期维护,近期维护,"('近期更新', 2)",0.9311144,2,0.5,0.801780063
版本更新,版本更新是什么时候,版本更新是什么时候,"('版本更新', 2)",0.8620236,5,0.444444444,0.736749848
版本更新,有什么新英雄要出现吗,有什么新英雄要出现,"('最新英雄更新', 2)",0.91094875,6,0.333333333,0.737664127
版本更新,3月19日更新,月19日更新,"('近期更新', 2)",0.8860737,4,0.333333333,0.720251596
版本更新,帮我更新吧,帮我更新,"('帮我更新', 2)",0.9999999,0,1,0.999999917
版本更新,即将上线的新英雄是什么位置,即将上线新英雄是什么位置,"('最新英雄更新', 2)",0.8991349,9,0.25,0.704394412
版本更新,新升级的英雄,新升级英雄,"('新英雄更新', 2)",0.9660907,4,0.2,0.736263475
版本更新,下版本的英雄是谁,下版本英雄是谁,"('最新英雄更新', 2)",0.88502365,5,0.285714286,0.705230843
版本更新,开始更新,开始更新,"('我要更新', 2)",0.9423146,2,0.5,0.809620237
版本更新,新英雄是什么职位,新英雄是什么职位,"('新英雄更新', 2)",0.8735897,5,0.375,0.724012786
版本更新,主页的荣耀更新了吗,主页荣耀更新,"('新更新', 2)",0.8823247,4,0.333333333,0.717627287
版本更新,多长时间更新了,多长时间更新,"('查一下更新', 2)",0.8647359,4,0.333333333,0.705315131
版本更新,开始更新了吗呀,开始更新,"('我要更新', 2)",0.9423146,2,0.5,0.809620237
版本更新,5月18日更新公告。,月18日更新公告,"('更新公告', 2)",0.9361775,4,0.5,0.805324244
版本更新,明天早上是要更新,明天早上是要更新,"('我要更新', 2)",0.85932356,5,0.375,0.714026493
版本更新,我最近获得的英雄是谁,我最近获得英雄是谁,"('最新英雄更新', 2)",0.8841394,6,0.333333333,0.718897593
版本更新,还有一个月更新是吧,还有一个月更新是,"('查一下更新', 2)",0.8851026,5,0.375,0.732071841
版本更新,最近新的英雄皮肤福利有哪些？,最近新英雄皮肤福利有哪些？,"('最新英雄更新', 2)",0.8767457,9,0.307692308,0.706029683
版本更新,今天的更新公告栏,今天更新公告栏,"('更新公告', 2)",0.9153831,3,0.571428571,0.812196742
版本更新,本次版本英雄调整,本次版本英雄调整,"('这次英雄更新', 2)",0.93964785,5,0.375,0.770253497
版本更新,查询一下游戏更新时间,查询一下游戏更新时间,"('查一下更新', 2)",0.85819983,5,0.5,0.750739884
版本更新,新活动更新,新活动更新,"('这次更新', 2)",0.87270033,3,0.4,0.730890234
版本更新,帮我更新到最新,帮我更新到最新,"('给我更新', 2)",0.9354887,4,0.428571429,0.783413519
版本更新,4有11更新,有11更新,"('这次更新', 2)",0.8989502,3,0.4,0.749265153
版本更新,为什么我的英雄战力不更新,为什么我英雄战力更新,"('这次英雄更新', 2)",0.8672304,6,0.4,0.727061291
版本更新,英雄升六级,英雄升六级,"('英雄更新', 2)",0.84502625,3,0.4,0.711518378
版本更新,英雄已经在哪里更换,英雄已经在哪里更换,"('英雄更新', 2)",0.86128354,6,0.333333333,0.702898479
版本更新,1月10日更新内容,月10日更新内容,"('近期更新', 2)",0.9074484,6,0.25,0.710213888
版本更新,最近有什么英雄调整吗,最近有什么英雄调整,"('最新英雄更新', 2)",0.9302722,6,0.333333333,0.751190555
版本更新,那么我这个版本是最新的版本吗,那么我这个版本是最新版本,"('最新版本更新', 2)",0.90501773,9,0.25,0.708512414
版本更新,血包更新,血包更新,"('新更新', 2)",0.8642876,2,0.5,0.75500133
版本更新,新赛季，明天更新吗,新赛季，明天更新,"('这次英雄更新', 2)",0.8943017,6,0.25,0.701011199
版本更新,海岛乐园公告,海岛乐园公告,"('这次公告', 2)",0.8829812,4,0.333333333,0.718086827
版本更新,新点,新点,"('新更新', 2)",0.86893046,2,0.333333333,0.708251321
版本更新,五月二十五日英雄更新,五月二十五日英雄更新,"('这次英雄更新', 2)",0.89572614,6,0.4,0.747008301
